text_content,sentiment_compound_score
Cheetahs have been kept as pets for thousands of years,0.0
Yup. Cheetahs in captivity often get their own dog companions.,0.0
Hunter from Spyro brought me here,0.0
Cheetah as pet.... Don't give me hope 😆,0.0243
Now youve made me search for a pet cheetah,0.0
I have Maine con and ragdoll,0.0
Maine coin all the way baby,0.0
You can hear the Rottweiler land in a bush after getting absolutely bodied ahaha,0.0
The little guy looked a tiger in the face and growled 😮💪🏾,0.0
"Ayyy,Luna que pedazo garras    tienes,eres como una gatita mansa tán tierna y sumisa,beeella,me tienes enamorada",0.0
Never in my life have I wanted a video to last 5 more seconds as much as this one.,0.0
That escalated VERY quickly. Made me remember An American Warewolf In London.,0.0
"Not gonna lie, that made me flinch",0.0
"I feel how they hiss and this passes through to real life
I feel when they hiss acutally passes air to me",0.0
"In Latvia, you can do that",0.0
Lumbar can’t meow so the hiss or in other words that:✈️✈️✈️✈️✈️✈️✈️🛫🛫🛫🛫🛫,0.0
Big cat core has me dying every day,0.0
Big cats are house cats in jumbo size confirmed,0.0
5 is me on outside and 1 is me half the time,0.0
"Big or small, cat is cat",0.0
I've seen tiger a lions in a zoo,0.0
Va aver trompasos 🤪,0.0
"Esta Asustado,esa es su Reaccion, lo ponen muy cerca de PERRO, es RAPIDO de MANOS",0.0
Il a déjà de sacrées griffes !,0.0
ThatCat should b in a Room of His Own 😮,0.0
