Pet,Positive,Neutral,Negative,Total,Positive_%,Neutral_%,Negative_%
african grey parrot pet,955,217,147,1319,72.4,16.45,11.14
amazon parrot pet,343,43,65,451,76.05,9.53,14.41
cockatoo pet,961,115,107,1183,81.23,9.72,9.04
great green macaw pet,151,17,12,180,83.89,9.44,6.67
hyacinth macaw pet,164,37,33,234,70.09,15.81,14.1
macaw pet,245,26,25,296,82.77,8.78,8.45
military macaw pet,62,11,7,80,77.5,13.75,8.75
moluccan cockatoo pet,461,42,51,554,83.21,7.58,9.21
orange-fronted parakeet pet,70,15,15,100,70.0,15.0,15.0
painted bunting pet,76,27,4,107,71.03,25.23,3.74
red siskin pet,15,4,2,21,71.43,19.05,9.52
salmon-crested cockatoo pet,324,20,17,361,89.75,5.54,4.71
scarlet macaw pet,438,99,87,624,70.19,15.87,13.94
sulfur crested cockatoo pet,370,49,32,451,82.04,10.86,7.1
umbrella cockatoo pet,305,22,27,354,86.16,6.21,7.63
yellow-headed amazon pet,51,10,3,64,79.69,15.62,4.69
yellow-naped amazon pet,285,39,42,366,77.87,10.66,11.48
